MaritalStatus	AgeR	Degree	Gender	ReligiousP	OwnGun	CapitalPunishment
Never Married	18-25	(2)Jr. College	Male	None	No	Favor
Never Married	18-25	(0) < High School	Male	Catholic	No	Favor
Never Married	18-25	(2)Jr. College	Male	None	Yes	Favor
Married	56-65	(1)High School	Female	Protestant	No	Favor
Married	36-45	(1)High School	Female	Protestant	Yes	Favor
Never Married	26-35	(1)High School	Male	Protestant	Yes	Oppose
Never Married	36-45	(2)Jr. College	Male	Other	No	Oppose
Married	76-82	(4)Graduate	Female	None	Yes	Favor
Never Married	18-25	(1)High School	Male	Protestant	No	Favor
Separated	36-45	(1)High School	Female	None	No	Favor
Married	46-55	(2)Jr. College	Female	None	No	Favor
Never Married	18-25	(0) < High School	Female	Catholic	No	Oppose
Never Married	36-45	(1)High School	Male	Catholic	No	Oppose
Married	46-55	(1)High School	Male	Protestant	Yes	Favor
Never Married	26-35	(2)Jr. College	Male	None	Yes	Favor
Married	36-45	(1)High School	Female	Protestant	No	Oppose
Never Married	18-25	(1)High School	Female	None	No	Favor
Never Married	18-25	(1)High School	Female	Protestant	No	Favor
Married	46-55	(0) < High School	Female	Protestant	Yes	Favor
Divorced	56-65	(3)Bachelor	Male	None	No	Oppose
Married	36-45	(1)High School	Female	Protestant	No	Favor
Married	36-45	(1)High School	Male	Catholic	Yes	Oppose
Married	76-82	(1)High School	Male	Protestant	Refused	Favor
Divorced	46-55	(1)High School	Female	Protestant	Yes	Favor
Married	46-55	(0) < High School	Female	Protestant	No	Oppose
Married	66-75	(1)High School	Female	Protestant	No	Favor
Married	26-35	(1)High School	Male	None	No	Oppose
Married	46-55	(1)High School	Female	Protestant	Yes	Favor
Married	36-45	(1)High School	Male	Protestant	No	Oppose
Divorced	36-45	(3)Bachelor	Male	None	No	Oppose
Never Married	36-45	(1)High School	Male	Protestant	No	Oppose
Married	36-45	(1)High School	Male	Protestant	No	Favor
Married	46-55	(1)High School	Female	Christian	No	Oppose
Divorced	46-55	(1)High School	Male	Jewish	Yes	Oppose
Married	36-45	(1)High School	Female	None	No	Oppose
Married	36-45	(1)High School	Female	None	No	Favor
Never Married	36-45	(1)High School	Male	Catholic	No	Favor
Married	26-35	(3)Bachelor	Male	Catholic	No	Favor
Married	46-55	(1)High School	Male	Catholic	No	Favor
Never Married	36-45	(3)Bachelor	Male	Protestant	Refused	Favor
Divorced	56-65	(4)Graduate	Female	None	Yes	Favor
Married	26-35	(1)High School	Male	Protestant	No	Favor
Married	46-55	(3)Bachelor	Male	None	No	Favor
Never Married	36-45	(1)High School	Male	Protestant	No	Favor
Divorced	82 +	(2)Jr. College	Male	Protestant	Yes	Oppose
Married	26-35	(1)High School	Male	Protestant	Yes	Favor
Married	36-45	(2)Jr. College	Female	None	No	Favor
Married	66-75	(1)High School	Female	Protestant	No	Favor
Married	26-35	(3)Bachelor	Male	Catholic	Yes	Favor
Never Married	18-25	(4)Graduate	Male	Christian	No	Oppose
Never Married	46-55	(1)High School	Male	Protestant	Yes	Oppose
Married	56-65	(2)Jr. College	Female	None	No	Oppose
Divorced	46-55	(1)High School	Male	Protestant	No	Favor
Never Married	18-25	(3)Bachelor	Male	Protestant	No	Oppose
Married	26-35	(1)High School	Female	Catholic	Yes	Oppose
Widowed	56-65	(4)Graduate	Male	None	No	Favor
Married	36-45	(1)High School	Female	Christian	No	Favor
Married	56-65	(1)High School	Female	None	No	Favor
Divorced	36-45	(1)High School	Male	Protestant	Yes	Favor
Married	46-55	(1)High School	Male	Protestant	No	Favor
Married	36-45	(1)High School	Male	Orthodox-Christian	No	Favor
Married	36-45	(1)High School	Female	Protestant	No	Favor
Divorced	66-75	(2)Jr. College	Male	Protestant	No	Favor
Married	56-65	(1)High School	Male	None	No	Favor
Married	36-45	(0) < High School	Female	Protestant	No	Favor
Married	26-35	(4)Graduate	Female	None	No	Oppose
Never Married	46-55	(4)Graduate	Male	Catholic	Yes	Favor
Married	36-45	(1)High School	Male	None	No	Favor
Separated	36-45	(1)High School	Female	Protestant	Yes	Favor
Married	36-45	(0) < High School	Female	Protestant	No	Favor
Married	56-65	(1)High School	Female	Protestant	Refused	Favor
Never Married	36-45	(1)High School	Male	Catholic	Yes	Favor
Never Married	18-25	(0) < High School	Female	Protestant	No	Favor
Divorced	36-45	(1)High School	Male	Protestant	No	Favor
Married	56-65	(3)Bachelor	Male	Catholic	Yes	Oppose
Divorced	66-75	(4)Graduate	Female	Protestant	No	Oppose
Never Married	18-25	(1)High School	Male	Jewish	No	Favor
Separated	36-45	(0) < High School	Male	Protestant	No	Favor
Married	46-55	(2)Jr. College	Female	Protestant	Refused	Favor
Married	26-35	(3)Bachelor	Male	None	No	Oppose
Divorced	36-45	(1)High School	Male	Catholic	Yes	Favor
Never Married	26-35	(1)High School	Male	None	Yes	Oppose
Married	26-35	(4)Graduate	Female	Protestant	Yes	Favor
Widowed	76-82	(0) < High School	Female	Protestant	No	Oppose
Never Married	46-55	(0) < High School	Male	Protestant	No	Favor
Married	76-82	(0) < High School	Male	Catholic	No	Favor
Married	26-35	(3)Bachelor	Female	Catholic	No	Favor
Widowed	66-75	(0) < High School	Male	None	No	Favor
Married	46-55	(1)High School	Female	None	No	Favor
Never Married	26-35	(1)High School	Female	Protestant	No	Favor
